playerID,fullName,number_of_goals,number_of_awards,teamName
howego01,Gordie Howe,25,36,Detroit Red Wings
delveal01,Alex Delvecchio,24,5,Detroit Red Wings
yzermst01,Steve Yzerman,22,6,Detroit Red Wings
mikitst01,Stan Mikita,22,16,Chicago Blackhawks
mikitst01,Stan Mikita,22,16,Chicago Black Hawks
bourqra01,Raymond Bourque,21,26,Boston Bruins
bucykjo01,John Bucyk,21,4,Boston Bruins
hortoti01,Tim Horton,20,6,Toronto Maple Leafs
daneyke01,Ken Daneyko,20,1,New Jersey Devils
richahe01,Henri Richard,20,5,Montreal Canadiens
